Country,2019,2020,2021,2022
Afghanistan,10.8,10.57,10.27,9.9
Albania,16.6,16.58,16.58,16.58
Algeria,16.0,16.0,15.99,15.98
Angola,12.6,12.61,12.6,12.58
Antigua and Barbuda,15.8,15.8,15.8,15.81
Argentina,16.3,16.31,16.32,16.32
Armenia,15.7,15.94,16.22,16.52
Australia,19.0,19.16,19.36,19.59
Austria,18.3,18.48,18.71,18.98
Azerbaijan,13.4,13.49,13.6,13.71
Bahamas,16.2,16.19,16.17,16.15
Bahrain,13.8,13.43,12.92,12.26
Bangladesh,15.5,15.25,14.87,14.36
Barbados,16.3,16.05,15.75,15.38
Belarus,15.1,15.07,14.97,14.79
Belgium,18.2,18.27,18.34,18.41
Belize,16.7,16.71,16.74,16.77
Benin,13.0,13.1,13.22,13.36
Bhutan,14.5,14.52,14.53,14.54
Bolivia (Plurinational State of),14.2,14.28,14.38,14.52
Bosnia and Herzegovina,15.2,15.31,15.46,15.64
Botswana,11.8,11.84,11.88,11.92
Brazil,16.4,16.58,16.8,17.04
Brunei Darussalam,14.5,14.62,14.78,14.99
Bulgaria,15.2,15.23,15.24,15.24
Burkina Faso,12.6,12.71,12.83,12.98
Burundi,12.7,12.79,12.9,13.02
Cabo Verde,14.9,14.31,13.62,12.8
Cambodia,13.2,13.2,13.19,13.18
Cameroon,12.8,12.96,13.14,13.35
Canada,19.0,19.07,19.16,19.27
Central African Republic,10.0,10.15,10.33,10.54
Chad,12.3,12.37,12.43,12.48
Chile,18.4,18.44,18.44,18.4
China,15.9,15.91,15.89,15.83
Colombia,18.1,18.22,18.35,18.49
Comoros,13.7,13.77,13.85,13.94
Congo,12.2,12.23,12.26,12.28
Costa Rica,18.7,18.64,18.55,18.4
Croatia,16.2,16.32,16.45,16.59
Cuba,16.3,16.19,16.04,15.86
Cyprus,19.0,19.13,19.26,19.39
Czechia,16.3,16.46,16.66,16.89
Côte d'Ivoire,12.7,12.82,12.95,13.07
Democratic People's Republic of Korea,14.9,15.03,15.19,15.36
Democratic Republic of the Congo,12.5,12.48,12.42,12.32
Denmark,18.2,18.22,18.2,18.16
Djibouti,13.6,13.64,13.68,13.71
Dominican Republic,16.0,16.31,16.74,17.29
Ecuador,17.6,17.7,17.79,17.86
Egypt,13.4,13.79,14.3,14.94
El Salvador,16.4,16.54,16.72,16.95
Equatorial Guinea,12.9,12.91,12.92,12.95
Eritrea,11.4,11.47,11.54,11.61
Estonia,17.3,17.4,17.48,17.55
Eswatini,11.0,11.0,10.94,10.82
Ethiopia,13.9,13.96,14.01,14.06
Fiji,11.8,11.84,11.88,11.94
Finland,18.5,18.51,18.51,18.49
France,19.7,19.77,19.86,19.97
Gabon,12.8,12.83,12.84,12.84
Gambia,12.6,12.61,12.6,12.59
Georgia,14.4,14.48,14.59,14.71
Germany,18.5,18.91,19.42,20.04
Ghana,12.9,12.94,12.96,12.95
Greece,18.4,18.49,18.61,18.76
Grenada,14.3,14.04,13.67,13.19
Guatemala,15.0,15.15,15.32,15.52
Guinea,12.3,12.47,12.66,12.9
Guinea-Bissau,11.4,11.53,11.68,11.85
Guyana,12.5,12.4,12.25,12.07
Haiti,12.8,12.06,10.9,9.28
Honduras,13.8,14.1,14.5,15.03
Hungary,15.3,15.37,15.46,15.57
Iceland,19.0,18.96,18.89,18.79
India,13.2,13.17,13.11,13.02
Indonesia,13.4,13.45,13.5,13.55
Iran (Islamic Republic of),15.7,15.79,15.9,16.04
Iraq,14.2,14.15,14.06,13.95
Ireland,18.6,18.7,18.8,18.93
Israel,19.3,19.52,19.78,20.1
Italy,18.9,19.02,19.17,19.34
Jamaica,16.4,16.4,16.42,16.45
Japan,20.4,20.54,20.7,20.89
Jordan,16.2,16.11,15.97,15.79
Kazakhstan,14.8,14.87,14.91,14.9
Kenya,13.1,13.17,13.23,13.29
Kiribati,10.3,10.31,10.32,10.32
Kuwait,17.8,17.56,17.22,16.77
Kyrgyzstan,15.7,16.12,16.6,17.15
Lao People's Democratic Republic,13.3,13.29,13.25,13.2
Latvia,15.6,15.5,15.33,15.09
Lebanon,15.0,15.09,15.2,15.33
Lesotho,9.8,10.04,10.32,10.67
Liberia,12.9,13.15,13.45,13.8
Libya,15.5,15.5,15.51,15.54
Lithuania,15.9,16.08,16.28,16.5
Luxembourg,18.5,18.35,18.15,17.88
Madagascar,12.6,12.64,12.68,12.71
Malawi,12.8,12.82,12.82,12.79
Malaysia,14.6,14.44,14.23,13.96
Maldives,16.8,16.97,17.14,17.32
Mali,12.8,12.91,13.03,13.18
Malta,18.9,18.88,18.83,18.74
Mauritania,14.3,14.3,14.3,14.29
Mauritius,14.5,14.46,14.39,14.29
Mexico,16.1,16.06,16.0,15.92
Micronesia (Federated States of),11.1,11.08,11.05,11.03
Mongolia,12.6,12.42,12.15,11.78
Montenegro,14.9,14.99,15.1,15.22
Morocco,14.1,14.12,14.16,14.2
Mozambique,11.6,11.77,11.96,12.2
Myanmar,13.6,13.66,13.7,13.74
Namibia,12.7,12.73,12.76,12.78
Nepal,13.3,13.44,13.63,13.87
Netherlands,18.4,18.56,18.78,19.04
New Zealand,18.6,18.83,19.13,19.5
Nicaragua,15.1,15.06,14.99,14.89
Niger,13.0,13.08,13.19,13.31
Nigeria,13.5,13.57,13.64,13.71
North Macedonia,14.0,14.09,14.19,14.29
Norway,18.5,18.46,18.39,18.26
Oman,13.2,13.4,13.62,13.85
Pakistan,12.6,12.69,12.78,12.87
Panama,18.1,18.06,18.0,17.89
Papua New Guinea,12.3,12.3,12.29,12.26
Paraguay,16.5,16.47,16.43,16.37
Peru,18.5,18.5,18.47,18.4
Philippines,13.4,13.38,13.36,13.35
Poland,16.8,16.93,17.07,17.22
Portugal,18.6,18.62,18.61,18.57
Qatar,14.2,14.13,13.98,13.74
Republic of Korea,19.8,20.05,20.32,20.61
Republic of Moldova,14.6,14.89,15.19,15.51
Romania,15.7,15.77,15.84,15.91
Russian Federation,15.0,15.09,15.15,15.18
Rwanda,13.6,13.62,13.64,13.67
Saint Lucia,15.8,15.61,15.41,15.19
Saint Vincent and the Grenadines,15.9,16.13,16.41,16.75
Samoa,13.4,13.43,13.47,13.5
Sao Tome and Principe,13.1,13.13,13.17,13.2
Saudi Arabia,14.0,14.07,14.13,14.17
Senegal,13.1,13.16,13.23,13.31
Serbia,14.9,14.93,14.95,14.96
Seychelles,14.1,14.1,14.11,14.12
Sierra Leone,12.6,12.69,12.77,12.85
Singapore,20.0,20.13,20.26,20.39
Slovakia,16.6,16.71,16.8,16.86
Slovenia,17.8,17.93,18.08,18.26
Solomon Islands,11.8,11.79,11.76,11.72
Somalia,11.2,11.29,11.38,11.47
South Africa,13.9,14.25,14.64,15.07
South Sudan,12.7,12.83,12.99,13.18
Spain,19.2,19.34,19.51,19.71
Sri Lanka,15.3,15.29,15.26,15.21
Sudan,13.6,13.62,13.63,13.64
Suriname,14.1,13.72,13.26,12.72
Sweden,18.9,19.06,19.25,19.47
Switzerland,19.5,19.73,20.02,20.36
Syrian Arab Republic,13.9,15.2,16.93,19.15
Tajikistan,12.7,12.88,13.11,13.37
Thailand,18.0,17.98,17.93,17.86
Timor-Leste,13.2,13.21,13.25,13.31
Togo,12.8,12.91,13.02,13.13
Tonga,14.5,14.56,14.63,14.72
Trinidad and Tobago,17.2,17.26,17.25,17.17
Tunisia,16.0,16.06,16.13,16.2
Turkmenistan,14.7,14.82,14.94,15.05
Türkiye,16.6,16.72,16.84,16.96
Uganda,13.4,13.46,13.52,13.57
Ukraine,15.0,14.99,14.93,14.81
United Arab Emirates,14.5,14.69,14.93,15.22
United Kingdom of Great Britain and Northern Ireland,18.3,18.49,18.73,19.02
United Republic of Tanzania,13.4,13.47,13.55,13.62
United States of America,16.4,16.37,16.33,16.3
Uruguay,16.6,16.45,16.26,16.02
Uzbekistan,14.5,14.71,14.95,15.23
Vanuatu,11.9,11.88,11.86,11.83
Venezuela (Bolivarian Republic of),16.3,16.28,16.27,16.27
Viet Nam,14.8,14.81,14.81,14.8
Yemen,13.3,13.18,13.02,12.83
Zambia,12.6,12.65,12.68,12.7
Zimbabwe,11.5,11.49,11.44,11.34
