Country,2019,2020,2021,2022
Afghanistan,53.9,54.27,54.66,55.09
Albania,69.1,68.9,68.59,68.17
Algeria,66.4,66.53,66.68,66.86
Angola,54.8,54.81,54.69,54.44
Antigua and Barbuda,67.0,67.09,67.21,67.35
Argentina,67.1,67.09,67.05,66.98
Armenia,67.1,67.39,67.67,67.96
Australia,70.9,70.98,71.08,71.18
Austria,70.9,71.06,71.24,71.43
Azerbaijan,63.6,63.6,63.54,63.42
Bahamas,64.4,64.54,64.73,64.98
Bahrain,65.9,65.57,65.12,64.54
Bangladesh,64.3,64.07,63.67,63.08
Barbados,67.0,66.88,66.74,66.56
Belarus,66.0,65.87,65.55,65.04
Belgium,70.6,70.74,70.87,70.99
Belize,65.3,65.33,65.35,65.37
Benin,55.5,55.85,56.22,56.62
Bhutan,63.4,63.67,63.97,64.32
Bolivia (Plurinational State of),63.3,63.44,63.58,63.72
Bosnia and Herzegovina,67.2,67.31,67.44,67.61
Botswana,53.9,54.14,54.39,54.64
Brazil,65.4,65.6,65.81,66.04
Brunei Darussalam,65.6,65.61,65.64,65.69
Bulgaria,66.3,66.37,66.43,66.47
Burkina Faso,54.9,55.25,55.6,55.95
Burundi,55.6,55.93,56.24,56.55
Cabo Verde,64.8,64.52,64.15,63.68
Cambodia,61.5,61.65,61.8,61.94
Cameroon,54.5,55.36,56.3,57.34
Canada,71.3,71.36,71.42,71.48
Central African Republic,46.4,47.14,47.96,48.88
Chad,52.0,52.37,52.74,53.11
Chile,70.0,70.12,70.22,70.31
China,68.5,68.52,68.48,68.4
Colombia,69.0,69.15,69.3,69.43
Comoros,58.9,59.03,59.15,59.25
Congo,56.2,56.55,56.91,57.3
Costa Rica,70.0,69.86,69.64,69.36
Croatia,68.6,68.83,69.1,69.4
Cuba,67.8,67.72,67.64,67.54
Cyprus,72.4,72.64,72.89,73.16
Czechia,68.8,68.94,69.09,69.25
Côte d'Ivoire,54.8,55.35,55.87,56.39
Democratic People's Republic of Korea,65.0,65.15,65.29,65.43
Democratic Republic of the Congo,54.1,54.45,54.77,55.05
Denmark,71.0,71.04,71.03,70.98
Djibouti,58.0,58.0,57.88,57.62
Dominican Republic,64.0,64.62,65.45,66.51
Ecuador,68.5,68.62,68.68,68.66
Egypt,63.0,63.41,63.9,64.46
El Salvador,64.9,65.76,66.88,68.28
Equatorial Guinea,53.9,54.2,54.54,54.91
Eritrea,55.7,56.23,56.83,57.51
Estonia,69.2,69.4,69.6,69.8
Eswatini,50.1,50.45,50.56,50.39
Ethiopia,59.9,60.15,60.34,60.47
Fiji,59.6,59.6,59.61,59.63
Finland,71.0,70.95,70.83,70.64
France,72.1,72.22,72.34,72.48
Gabon,57.6,57.79,57.91,57.96
Gambia,57.0,57.32,57.64,57.97
Georgia,64.7,64.86,65.04,65.24
Germany,70.9,71.28,71.74,72.3
Ghana,58.0,58.28,58.52,58.7
Greece,70.9,71.07,71.27,71.5
Grenada,63.9,63.82,63.69,63.52
Guatemala,62.3,62.42,62.51,62.55
Guinea,53.3,54.07,55.0,56.1
Guinea-Bissau,52.6,53.0,53.38,53.74
Guyana,57.2,57.11,56.97,56.78
Haiti,55.8,50.52,42.35,30.94
Honduras,63.0,64.01,65.31,66.93
Hungary,67.2,67.36,67.53,67.72
Iceland,72.0,71.97,71.92,71.84
India,60.3,60.56,60.81,61.04
Indonesia,62.8,62.84,62.85,62.81
Iran (Islamic Republic of),66.3,66.48,66.67,66.88
Iraq,62.7,63.62,64.77,66.15
Ireland,71.1,71.21,71.34,71.48
Israel,72.4,72.63,72.91,73.24
Italy,71.9,71.97,72.05,72.13
Jamaica,66.6,66.62,66.66,66.71
Japan,74.1,74.23,74.37,74.51
Jordan,67.6,67.47,67.28,67.03
Kazakhstan,65.0,65.2,65.3,65.29
Kenya,57.7,58.02,58.31,58.57
Kiribati,52.6,53.07,53.66,54.38
Kuwait,70.1,69.88,69.55,69.12
Kyrgyzstan,65.8,66.39,67.01,67.66
Lao People's Democratic Republic,60.5,60.76,61.01,61.25
Latvia,66.2,66.13,65.97,65.71
Lebanon,66.0,66.09,66.19,66.29
Lesotho,44.2,45.37,46.79,48.49
Liberia,54.9,56.04,57.45,59.17
Libya,65.2,65.92,66.89,68.14
Lithuania,66.7,67.16,67.68,68.25
Luxembourg,71.6,71.48,71.29,71.03
Madagascar,57.3,57.58,57.89,58.21
Malawi,57.1,57.22,57.12,56.8
Malaysia,65.7,65.6,65.46,65.28
Maldives,70.0,70.29,70.62,70.99
Mali,54.6,55.09,55.63,56.23
Malta,71.5,71.44,71.33,71.16
Mauritania,59.8,59.96,60.09,60.19
Mauritius,63.9,63.76,63.56,63.3
Mexico,65.8,65.67,65.46,65.19
Micronesia (Federated States of),56.0,56.12,56.27,56.46
Mongolia,60.3,60.13,59.82,59.36
Montenegro,67.0,67.12,67.25,67.39
Morocco,63.7,63.75,63.78,63.79
Mozambique,50.4,50.85,51.3,51.75
Myanmar,60.9,61.08,61.2,61.24
Namibia,56.1,56.56,57.06,57.61
Nepal,61.3,61.81,62.44,63.21
Netherlands,71.4,71.53,71.7,71.91
New Zealand,70.2,70.35,70.55,70.79
Nicaragua,65.5,65.55,65.6,65.63
Niger,55.5,55.83,56.16,56.5
Nigeria,54.4,54.76,55.14,55.55
North Macedonia,66.1,66.42,66.79,67.24
Norway,71.4,71.32,71.17,70.96
Oman,64.7,64.83,64.9,64.9
Pakistan,56.9,57.18,57.46,57.75
Panama,68.7,68.73,68.71,68.66
Papua New Guinea,57.1,57.22,57.31,57.36
Paraguay,65.8,65.81,65.81,65.78
Peru,69.5,69.6,69.67,69.7
Philippines,62.0,62.0,61.99,61.98
Poland,68.7,68.88,69.05,69.23
Portugal,71.0,71.03,71.01,70.95
Qatar,67.1,67.12,67.05,66.9
Republic of Korea,73.1,73.44,73.83,74.25
Republic of Moldova,64.5,64.88,65.24,65.59
Romania,66.8,66.88,66.95,66.99
Russian Federation,64.2,64.5,64.76,64.97
Rwanda,60.2,60.44,60.67,60.9
Saint Lucia,64.7,64.56,64.41,64.26
Saint Vincent and the Grenadines,64.0,64.36,64.85,65.48
Samoa,62.1,62.12,62.14,62.14
Sao Tome and Principe,61.6,61.77,61.95,62.13
Saudi Arabia,64.0,64.18,64.35,64.51
Senegal,59.4,59.75,60.13,60.56
Serbia,66.9,67.03,67.16,67.3
Seychelles,64.0,64.02,64.04,64.08
Sierra Leone,52.9,54.09,55.47,57.06
Singapore,73.6,73.65,73.68,73.68
Slovakia,68.5,68.72,68.94,69.16
Slovenia,70.7,70.91,71.13,71.38
Solomon Islands,57.8,57.84,57.84,57.81
Somalia,49.7,50.02,50.3,50.53
South Africa,56.2,56.27,56.09,55.65
South Sudan,53.7,54.01,54.39,54.86
Spain,72.1,72.24,72.39,72.56
Sri Lanka,67.0,66.71,66.23,65.54
Sudan,59.9,60.18,60.47,60.78
Suriname,62.4,61.93,61.33,60.59
Sweden,71.9,72.11,72.37,72.68
Switzerland,72.5,72.85,73.26,73.77
Syrian Arab Republic,62.9,67.79,74.3,82.59
Tajikistan,62.0,62.22,62.48,62.78
Thailand,68.3,68.33,68.35,68.36
Timor-Leste,60.9,61.08,61.29,61.53
Togo,56.2,56.73,57.27,57.81
Tonga,64.0,64.06,64.15,64.26
Trinidad and Tobago,66.2,66.31,66.34,66.29
Tunisia,66.9,66.94,66.97,67.0
Turkmenistan,62.1,62.02,61.85,61.59
Türkiye,68.4,68.59,68.8,69.01
Uganda,58.2,58.39,58.44,58.34
Ukraine,64.3,64.25,64.11,63.87
United Arab Emirates,66.0,66.24,66.52,66.85
United Kingdom of Great Britain and Northern Ireland,70.1,70.25,70.44,70.66
United Republic of Tanzania,58.5,58.8,59.02,59.17
United States of America,66.1,65.91,65.68,65.42
Uruguay,67.5,67.44,67.35,67.23
Uzbekistan,64.7,65.08,65.51,65.99
Vanuatu,57.8,57.97,58.18,58.43
Venezuela (Bolivarian Republic of),64.4,64.13,63.81,63.45
Viet Nam,65.3,65.42,65.56,65.71
Yemen,57.5,57.2,56.87,56.52
Zambia,54.4,54.69,54.93,55.12
Zimbabwe,53.1,52.82,52.16,51.08
