Country,2019,2020,2021,2022
Afghanistan,2167.7,2076.14,1665.81,1139.17
Albania,14407.37,14033.98,15810.43,18333.66
United Arab Emirates,74811.69,71374.18,76609.2,88719.24
Argentina,23003.28,20763.29,23649.67,31016.03
Armenia,14921.82,14089.24,15592.49,18760.9
Australia,51908.91,53067.15,55949.22,59819.63
Austria,59756.45,56994.44,59537.54,67604.66
Azerbaijan,15051.56,14478.52,15854.55,18376.66
Belgium,55753.55,54197.33,59372.89,67660.89
Benin,3289.66,3360.99,3649.04,4023.12
Burkina Faso,2199.12,2208.4,2394.71,2597.82
Bangladesh,5697.95,5897.59,6493.81,7288.99
Bulgaria,25170.05,25293.69,28105.97,31144.7
Bahrain,51869.46,50468.25,54256.77,60847.71
Bosnia and Herzegovina,15898.24,15642.8,17488.52,19845.12
Belarus,20092.88,20278.47,21698.57,23404.05
Bolivia,8888.7,8100.53,8846.08,11167.97
Brazil,15304.91,14789.88,16031.09,18302.36
Botswana,15756.04,14287.51,16304.15,21257.85
Canada,49783.41,47166.01,52789.68,63648.15
Switzerland,73715.86,71984.33,77120.56,85719.85
Chile,25608.57,24808.4,28372.04,33536.02
China,16652.1,17189.28,19338.23,22131.83
Ivory Coast,5343.0,5377.79,5850.05,6382.34
Cameroon,3915.05,3866.25,4065.31,4361.97
Congo,3851.01,3570.02,3553.29,3573.78
Colombia,15872.31,15137.36,16903.79,20140.12
Comoros,3429.53,3398.85,3546.84,3756.19
Costa Rica,22607.41,21618.61,22613.98,25586.95
Cyprus,44038.87,41421.7,44393.76,52600.16
Czechia,44203.76,42712.34,45707.47,51685.44
Germany,57398.7,55848.97,58276.02,63802.53
Denmark,60094.11,60973.97,64672.23,69453.82
Dominican Republic,18937.96,17686.76,20462.52,25740.68
Algeria,12118.0,11438.69,12128.27,14176.47
Turkmenistan,37586.39,36380.92,39220.81,44471.64
Ecuador,11870.94,10924.18,11720.64,14410.62
Egypt,11652.57,12004.13,12706.4,13642.67
Spain,43069.17,38118.87,40591.76,52965.25
Estonia,38961.45,38532.71,42380.97,47086.71
Ethiopia,2273.73,2376.64,2547.72,2770.01
Finland,51810.01,52290.82,55203.33,58804.95
France,50500.75,47971.78,50996.44,59079.04
Gabon,15089.04,14664.71,15175.69,16535.33
United Kingdom,49661.38,46754.58,50809.57,60678.16
Georgia,15621.87,14731.2,17013.57,21077.28
Ghana,5571.56,5551.79,5971.13,6430.01
Guinea,2652.56,2746.73,2900.67,3099.98
Gambia,2171.23,2154.49,2281.31,2441.61
Greece,31138.61,28400.1,31485.89,40048.7
Guatemala,9037.69,8849.72,9806.83,11139.88
Honduras,5850.58,5303.51,6121.57,8033.77
Croatia,31587.9,29687.12,34535.02,43184.48
Hungary,34541.06,34061.46,36765.04,40427.82
Indonesia,12358.24,12146.41,13027.3,14331.85
India,6887.54,6448.87,7241.98,8912.43
Ireland,89670.87,93941.61,105355.2,120658.69
Iran,14678.78,15222.76,16484.08,18177.7
Iraq,10733.99,9408.3,9846.04,12910.22
Iceland,60076.87,54714.34,57967.28,71945.28
Israel,40475.67,39619.61,43450.55,48993.61
Italy,45799.19,43034.85,46373.52,55240.87
Jamaica,10676.73,9701.89,10542.74,13333.27
Jordan,9954.27,9707.4,10132.5,11051.34
Japan,42309.18,41516.6,42139.99,44348.54
Kazakhstan,27463.97,26750.45,28684.9,32046.39
Kenya,4795.4,4744.74,5211.17,5778.92
Kyrgyzstan,5480.29,4985.03,5289.69,6584.87
Cambodia,4652.71,4510.37,4783.9,5342.11
South Korea,43410.3,44698.08,46888.79,49748.05
Laos,8170.96,8189.15,8620.65,9085.59
Lebanon,17896.94,14535.68,14256.69,14621.21
Liberia,1517.07,1459.61,1563.55,1782.41
Libya,23486.54,17851.01,24130.83,41681.71
Venezuela,16653.73,15629.29,17120.08,20659.75
Sri Lanka,14214.65,13812.96,14706.54,16403.5
Lesotho,2640.03,2417.73,2521.53,3069.93
Lithuania,39911.28,39913.0,43184.99,46460.42
Luxembourg,120174.75,118961.53,133329.82,150124.55
Latvia,32893.93,32102.97,34257.98,37994.91
Morocco,8564.42,7959.26,8852.91,10956.88
Moldova,13580.12,12870.02,15390.47,19331.12
Madagascar,1652.39,1514.86,1607.94,1976.08
Mexico,20224.34,18523.34,19584.67,24048.0
Mali,2312.7,2240.14,2329.71,2564.4
Malta,48740.76,44583.33,48894.34,61520.21
Myanmar,5033.37,5218.02,4430.22,3273.12
