Country,2000,2010,2015,2019,2020,2021,2022
Afghanistan,10.2,10.9,11.2,10.8,10.62,10.43,10.24
Albania,15.0,16.7,16.7,16.6,16.57,16.54,16.52
Algeria,14.6,15.6,15.9,16.0,16.0,15.99,15.97
Argentina,15.6,16.0,16.2,16.3,16.32,16.33,16.34
Armenia,14.5,14.6,15.0,15.7,15.92,16.14,16.36
Australia,17.3,18.4,18.6,19.0,19.13,19.26,19.38
Austria,16.7,17.8,17.9,18.3,18.43,18.56,18.67
Azerbaijan,13.1,12.9,13.1,13.4,13.49,13.59,13.68
Bahrain,11.1,13.1,14.2,13.8,13.51,13.11,12.59
Bangladesh,13.3,14.2,15.5,15.5,15.5,15.5,15.5
Belarus,13.1,13.6,14.7,15.1,15.13,15.11,15.05
Belgium,16.6,17.5,17.9,18.2,18.27,18.34,18.41
Benin,12.1,12.5,12.7,13.0,13.09,13.19,13.28
Bolivia,13.6,14.2,14.1,14.2,14.25,14.3,14.36
Bosnia and Herzegovina,15.0,15.1,15.0,15.2,15.28,15.36,15.44
Botswana,9.4,11.2,11.6,11.8,11.83,11.86,11.87
Brazil,14.8,15.6,15.9,16.4,16.56,16.72,16.87
Bulgaria,13.7,14.6,15.0,15.2,15.23,15.26,15.27
Burkina Faso,11.5,12.1,12.3,12.6,12.69,12.79,12.88
Cambodia,11.8,12.8,13.1,13.2,13.2,13.19,13.17
Cameroon,11.1,11.9,12.3,12.8,12.95,13.1,13.25
Canada,17.3,18.6,18.8,19.0,19.06,19.11,19.17
Chad,11.1,11.6,12.0,12.3,12.37,12.44,12.51
Chile,16.4,17.2,18.0,18.4,18.47,18.51,18.54
China,14.0,14.9,15.6,15.9,15.94,15.95,15.94
Colombia,16.3,17.3,17.7,18.1,18.21,18.32,18.44
Comoros,12.3,13.3,13.5,13.7,13.76,13.81,13.87
Congo,10.3,11.6,12.0,12.2,12.23,12.26,12.27
Costa Rica,16.9,18.0,18.6,18.7,18.69,18.66,18.61
Croatia,14.4,15.4,15.8,16.2,16.31,16.42,16.54
Cyprus,16.8,17.9,18.5,19.0,19.13,19.26,19.39
Czechia,14.6,15.7,15.9,16.3,16.43,16.56,16.68
Ivory Coast,10.7,11.6,12.2,12.7,12.83,12.96,13.09
South Korea,12.3,14.1,14.5,14.9,15.01,15.12,15.24
Denmark,16.0,17.2,17.9,18.2,18.24,18.25,18.24
Dominican Republic,17.3,16.6,15.7,16.0,16.23,16.55,16.97
Ecuador,16.8,16.5,17.1,17.6,17.73,17.86,17.99
Egypt,13.9,13.4,12.8,13.4,13.69,14.01,14.36
El Salvador,16.1,16.4,16.2,16.4,16.5,16.6,16.72
Estonia,14.3,16.0,16.8,17.3,17.41,17.5,17.59
Kingdom of Eswatini,9.9,9.7,10.6,11.0,11.05,11.08,11.08
