Country,2000,2010,2015,2019,2020,2021,2022
Afghanistan,46.8,51.1,52.6,53.9,54.24,54.58,54.93
Albania,65.2,67.6,69.0,69.1,69.09,69.07,69.02
Algeria,62.7,65.5,66.0,66.4,66.5,66.6,66.7
Argentina,65.1,66.3,66.9,67.1,67.11,67.09,67.04
Armenia,63.5,64.8,66.0,67.1,67.39,67.69,68.0
Australia,68.6,70.2,70.6,70.9,70.97,71.04,71.11
Austria,68.2,69.9,70.4,70.9,71.04,71.18,71.32
Azerbaijan,58.5,61.7,63.1,63.6,63.63,63.61,63.52
Bahrain,61.9,65.0,66.2,65.9,65.63,65.23,64.68
Bangladesh,57.0,61.2,63.8,64.3,64.25,64.1,63.81
Belarus,60.8,62.3,65.1,66.0,66.02,65.92,65.67
Belgium,67.8,69.2,70.0,70.6,70.74,70.89,71.03
Benin,49.6,53.0,54.3,55.5,55.82,56.15,56.48
Bolivia,57.9,61.7,62.7,63.3,63.42,63.53,63.63
Bosnia and Herzegovina,66.2,67.0,67.0,67.2,67.27,67.33,67.36
Botswana,40.1,50.6,52.8,53.9,54.08,54.21,54.29
Brazil,61.7,63.9,64.7,65.4,65.58,65.77,65.96
Bulgaria,63.5,65.2,65.9,66.3,66.38,66.44,66.5
Burkina Faso,44.9,51.2,53.4,54.9,55.24,55.56,55.87
Cambodia,51.4,59.0,60.7,61.5,61.62,61.69,61.72
Cameroon,46.1,49.6,51.8,54.5,55.3,56.11,56.94
Canada,69.4,70.8,71.1,71.3,71.34,71.39,71.43
Chad,44.7,48.6,50.5,52.0,52.37,52.74,53.11
Chile,67.0,68.5,69.4,70.0,70.13,70.26,70.38
China,63.7,66.7,68.0,68.5,68.54,68.54,68.49
Colombia,64.1,67.2,68.3,69.0,69.15,69.29,69.42
Comoros,53.8,57.0,58.2,58.9,59.04,59.16,59.26
Congo,45.4,53.0,54.9,56.2,56.49,56.78,57.05
Costa Rica,68.0,69.2,70.0,70.0,70.0,70.0,70.0
Croatia,65.4,67.3,67.9,68.6,68.8,69.01,69.23
Cyprus,69.1,70.8,71.6,72.4,72.62,72.85,73.08
Czechia,65.9,67.7,68.3,68.8,68.93,69.06,69.19
Ivory Coast,44.0,49.5,52.5,54.8,55.36,55.92,56.47
South Korea,57.8,63.0,64.3,65.0,65.13,65.23,65.31
Denmark,67.6,69.4,70.5,71.0,71.07,71.11,71.12
Dominican Republic,64.1,64.4,63.2,64.0,64.44,64.98,65.61
Ecuador,65.2,65.8,67.5,68.5,68.7,68.87,69.03
Egypt,61.2,61.7,62.0,63.0,63.33,63.65,63.93
El Salvador,62.7,64.4,63.5,64.9,65.51,66.14,66.74
Estonia,62.6,66.9,68.3,69.2,69.39,69.58,69.74
Kingdom of Eswatini,41.3,41.4,46.9,50.1,50.73,51.28,51.75
Ethiopia,44.3,55.0,58.3,59.9,60.15,60.32,60.41
Finland,67.8,69.6,70.7,71.0,70.99,70.91,70.77
France,69.3,71.2,71.7,72.1,72.2,72.3,72.4
Gabon,50.5,54.0,56.3,57.6,57.85,58.06,58.23
Gambia,51.7,54.4,55.8,57.0,57.31,57.63,57.94
Georgia,61.9,63.7,64.2,64.7,64.84,64.98,65.12
Germany,68.5,70.0,70.1,70.9,71.17,71.42,71.6
Ghana,51.9,54.3,56.5,58.0,58.34,58.66,58.97
Greece,68.6,70.0,70.4,70.9,71.05,71.2,71.35
Guatemala,57.8,60.1,61.5,62.3,62.45,62.59,62.7
Guinea,47.5,50.9,51.5,53.3,53.9,54.48,54.99
Honduras,61.2,62.3,61.3,63.0,63.73,64.46,65.15
Hungary,63.0,65.8,66.6,67.2,67.34,67.49,67.63
Iceland,69.8,71.4,71.9,72.0,71.99,71.96,71.9
India,52.9,57.3,59.1,60.3,60.57,60.82,61.06
Indonesia,59.0,61.2,62.3,62.8,62.87,62.91,62.92
Iran,62.6,65.0,65.7,66.3,66.46,66.61,66.77
Iraq,59.5,60.9,60.8,62.7,63.37,63.93,64.28
Ireland,67.1,70.1,70.7,71.1,71.19,71.27,71.35
Israel,69.2,71.4,71.8,72.4,72.58,72.77,72.96
Italy,69.0,71.1,71.6,71.9,71.96,72.02,72.06
Jamaica,65.4,66.6,66.6,66.6,66.6,66.6,66.6
Japan,71.6,73.0,73.6,74.1,74.23,74.36,74.49
Jordan,63.6,66.7,67.6,67.6,67.6,67.6,67.6
Kazakhstan,56.1,60.4,63.4,65.0,65.29,65.51,65.68
Kenya,46.9,53.5,56.1,57.7,58.03,58.34,58.61
Kuwait,67.7,69.2,70.2,70.1,70.0,69.86,69.66
Kyrgyzstan,58.7,61.6,63.7,65.8,66.38,66.98,67.58
Laos,51.8,57.4,59.3,60.5,60.76,60.99,61.21
Latvia,61.6,64.3,65.8,66.2,66.18,66.07,65.87
Lebanon,64.7,65.4,65.7,66.0,66.08,66.17,66.25
