Country,2000,2010,2015,2019,2020,2021,2022
Afghanistan,13.9,15.1,15.6,15.2,14.99,14.75,14.48
Albania,19.0,21.3,21.1,21.0,20.98,20.97,20.96
Algeria,19.8,21.4,21.8,22.0,22.03,22.06,22.07
Argentina,20.2,20.6,21.0,21.1,21.09,21.06,21.0
Armenia,18.8,18.8,19.4,20.4,20.71,21.03,21.34
Australia,23.1,24.7,25.0,25.6,25.79,25.99,26.17
Austria,22.0,23.4,23.6,24.1,24.26,24.43,24.57
Azerbaijan,16.6,16.4,16.6,17.1,17.26,17.43,17.57
Bahrain,15.0,17.8,19.7,19.0,18.49,17.8,16.9
Bangladesh,17.8,19.0,20.9,20.9,20.9,20.9,20.9
Belarus,17.2,17.7,19.2,19.7,19.72,19.67,19.55
Belgium,21.6,23.1,23.6,24.0,24.1,24.2,24.3
Benin,16.1,16.7,17.0,17.4,17.52,17.64,17.77
Bolivia,17.8,18.5,18.5,18.6,18.63,18.66,18.68
Bosnia and Herzegovina,19.6,19.7,19.8,20.2,20.33,20.46,20.57
Botswana,12.9,15.3,15.9,16.2,16.25,16.28,16.31
Brazil,19.7,20.8,21.4,21.9,22.03,22.16,22.29
Bulgaria,17.6,18.9,19.4,19.8,19.9,20.0,20.1
Burkina Faso,15.5,16.2,16.4,16.8,16.93,17.06,17.18
Cambodia,15.8,17.2,17.6,17.7,17.69,17.66,17.6
Cameroon,15.1,15.9,16.4,17.1,17.31,17.53,17.75
Canada,22.5,24.4,24.7,25.2,25.36,25.52,25.67
Chad,14.9,15.6,16.2,16.5,16.55,16.58,16.61
Chile,21.3,22.5,23.6,24.3,24.45,24.59,24.72
China,18.4,19.6,20.6,21.1,21.18,21.24,21.28
Colombia,21.7,23.0,23.4,24.0,24.18,24.37,24.56
Comoros,16.3,17.6,17.9,18.1,18.14,18.19,18.23
Congo,13.9,15.7,16.1,16.4,16.47,16.54,16.61
Costa Rica,22.4,24.0,24.9,25.0,24.99,24.96,24.92
Croatia,19.0,20.4,21.0,21.8,22.04,22.29,22.54
Cyprus,21.9,23.5,24.2,24.9,25.09,25.29,25.49
Czechia,19.3,21.0,21.5,22.1,22.28,22.46,22.64
Ivory Coast,14.5,15.6,16.4,17.1,17.28,17.47,17.66
South Korea,15.5,18.0,18.6,19.1,19.23,19.36,19.49
Denmark,20.6,22.2,23.2,23.6,23.64,23.65,23.62
Dominican Republic,22.4,21.4,20.2,20.6,20.9,21.33,21.89
Ecuador,21.9,21.6,22.5,23.2,23.37,23.54,23.71
Egypt,18.5,17.7,17.0,17.8,18.17,18.58,19.0
El Salvador,21.4,22.1,21.8,22.1,22.25,22.41,22.58
Estonia,18.6,20.8,21.9,22.5,22.61,22.7,22.77
Kingdom of Eswatini,13.6,13.3,14.6,15.1,15.14,15.14,15.09
Ethiopia,14.1,17.3,18.1,18.4,18.42,18.42,18.38
Finland,21.6,23.3,23.9,24.2,24.25,24.28,24.31
France,23.0,24.7,25.0,25.3,25.38,25.47,25.55
Gabon,15.2,16.4,16.9,17.2,17.26,17.32,17.36
Gambia,16.2,16.5,16.7,16.9,16.96,17.01,17.07
Georgia,17.0,18.2,18.4,18.8,18.93,19.06,19.18
Germany,21.8,23.2,23.2,24.4,24.81,25.15,25.34
Ghana,16.0,16.2,16.8,17.2,17.29,17.37,17.45
Greece,21.5,23.3,23.5,23.8,23.89,23.99,24.08
Guatemala,19.1,19.6,19.9,20.5,20.69,20.89,21.07
Guinea,15.7,15.8,15.9,16.5,16.7,16.89,17.03
Honduras,19.6,18.9,17.9,18.3,18.58,18.95,19.43
Hungary,18.0,19.7,19.9,20.2,20.29,20.39,20.48
Iceland,22.6,23.9,24.4,24.6,24.62,24.62,24.61
India,16.1,18.0,18.5,18.8,18.86,18.92,18.96
Indonesia,17.6,17.5,17.7,17.9,17.96,18.01,18.07
Iran,19.7,21.4,21.6,21.8,21.86,21.91,21.97
Iraq,18.3,18.8,19.2,19.2,19.2,19.2,19.2
Ireland,20.2,23.2,23.7,24.2,24.34,24.48,24.62
Israel,21.9,24.2,24.3,24.9,25.1,25.29,25.43
Italy,22.5,24.4,24.5,25.0,25.17,25.33,25.45
Jamaica,21.0,21.6,21.4,21.3,21.28,21.27,21.26
Japan,24.1,25.3,25.9,26.3,26.39,26.47,26.55
Jordan,18.6,21.0,21.8,21.8,21.8,21.8,21.8
Kazakhstan,15.3,17.2,18.6,19.5,19.69,19.88,20.04
Kenya,16.3,16.8,17.3,17.6,17.66,17.72,17.76
Kuwait,22.2,23.2,24.2,24.0,23.81,23.52,23.13
Kyrgyzstan,16.7,17.6,18.4,20.0,20.51,21.03,21.52
Laos,15.3,16.9,17.5,17.6,17.59,17.56,17.51
Latvia,18.3,19.2,20.4,20.5,20.49,20.47,20.42
Lebanon,19.8,19.9,20.1,20.5,20.63,20.76,20.88
Lesotho,13.9,12.8,12.7,13.4,13.66,13.88,14.03
Liberia,15.8,16.7,17.1,17.7,17.88,18.07,18.26
Libya,21.0,21.5,21.3,21.3,21.3,21.3,21.3
Lithuania,19.5,19.9,20.3,20.9,21.08,21.27,21.46
Luxembourg,21.8,23.5,24.4,24.4,24.4,24.4,24.4
Madagascar,15.4,16.1,16.5,16.8,16.87,16.94,17.01
Malawi,14.0,16.0,16.9,17.2,17.21,17.18,17.11
Malaysia,18.1,19.2,19.9,19.5,19.26,18.97,18.61
Mali,16.0,16.8,17.1,17.5,17.62,17.74,17.87
Malta,20.8,23.2,24.2,24.5,24.5,24.45,24.34
Mauritania,17.1,18.5,18.8,19.0,19.04,19.09,19.13
Mauritius,17.8,19.4,20.2,20.3,20.29,20.26,20.21
Mexico,21.6,21.5,21.7,21.8,21.82,21.83,21.84
Mongolia,13.4,15.1,16.5,16.4,16.3,16.16,15.96
Montenegro,19.2,19.0,19.0,19.4,19.54,19.65,19.71
Morocco,18.4,18.7,18.5,18.7,18.8,18.9,19.02
Mozambique,15.2,15.1,15.3,15.8,15.96,16.13,16.27
Myanmar,15.4,17.0,17.7,18.1,18.18,18.24,18.3
Namibia,14.6,16.4,17.0,17.2,17.21,17.19,17.14
Nepal,17.6,18.1,17.8,18.0,18.11,18.24,18.4
Netherlands,21.3,23.3,23.6,24.1,24.26,24.42,24.57
New Zealand,22.4,24.2,24.3,24.8,24.97,25.13,25.25
Nicaragua,20.1,19.6,19.9,20.0,20.0,19.99,19.97
Niger,15.8,16.6,16.8,17.2,17.33,17.46,17.58
Nigeria,16.2,17.3,17.8,18.2,18.3,18.4,18.5
Kosovo,16.4,17.5,17.9,18.3,18.41,18.52,18.64
Norway,22.0,23.5,24.2,24.7,24.82,24.93,25.04
Pakistan,15.7,16.4,16.8,17.3,17.45,17.6,17.75
Panama,23.3,23.3,24.0,24.3,24.34,24.35,24.34
Paraguay,22.0,21.6,21.8,21.8,21.8,21.8,21.8
Peru,22.3,23.0,24.0,24.4,24.44,24.45,24.42
Philippines,17.6,18.0,17.8,17.8,17.8,17.8,17.8
Poland,19.2,21.0,21.5,22.1,22.28,22.46,22.64
Portugal,21.2,23.1,23.8,24.3,24.42,24.53,24.64
Moldova,15.8,16.5,17.8,19.0,19.32,19.65,19.98
Romania,18.2,19.2,19.9,20.3,20.38,20.44,20.5
Russia,16.4,17.8,19.1,19.9,20.07,20.22,20.35
Rwanda,13.4,17.4,17.9,18.0,17.99,17.96,17.9
Saudi Arabia,17.5,18.3,19.2,19.9,20.07,20.24,20.41
Senegal,16.6,17.6,17.8,18.1,18.19,18.29,18.38
Serbia,17.1,18.6,19.2,19.6,19.69,19.77,19.85
Sierra Leone,15.4,15.7,16.4,17.0,17.16,17.31,17.47
Singapore,21.5,24.1,25.1,25.5,25.54,25.55,25.52
Slovakia,18.5,19.8,21.0,21.8,21.98,22.15,22.31
Slovenia,20.5,22.8,23.3,23.8,23.94,24.08,24.22
South Africa,16.2,16.9,17.7,19.1,19.54,19.99,20.42
Spain,22.7,24.4,24.7,25.4,25.63,25.85,26.06
Sri Lanka,19.6,20.0,20.7,20.8,20.79,20.76,20.71
Sweden,22.4,23.7,24.0,24.5,24.66,24.82,24.97
Switzerland,23.0,24.6,24.8,25.4,25.6,25.79,25.96
Palestinian Territories,17.6,19.2,16.2,18.7,19.98,21.46,23.12
Tajikistan,17.2,15.6,15.5,16.1,16.32,16.52,16.65
Thailand,20.8,22.8,23.5,23.6,23.59,23.56,23.51
Togo,15.7,15.9,16.5,17.0,17.13,17.26,17.39
Tunisia,20.1,20.9,21.2,21.5,21.58,21.67,21.75
Turkmenistan,16.3,17.2,18.0,18.7,18.88,19.07,19.26
Turkey,21.5,21.2,21.5,22.0,22.16,22.32,22.47
Uganda,14.7,16.7,17.4,17.7,17.74,17.75,17.74
Ukraine,16.8,17.7,18.9,19.5,19.6,19.67,19.71
United Arab Emirates,18.7,19.5,19.4,19.9,20.09,20.25,20.37
United Kingdom,21.3,23.4,23.5,24.1,24.3,24.49,24.63
Tanzania,16.0,17.3,17.8,18.2,18.3,18.4,18.5
United States,21.4,23.0,23.1,23.1,23.1,23.1,23.1
Uruguay,20.6,21.2,21.8,21.7,21.6,21.46,21.26
Uzbekistan,16.0,17.3,17.8,18.6,18.85,19.1,19.35
Venezuela,21.3,21.9,21.8,21.7,21.67,21.64,21.62
Vietnam,18.9,19.2,19.4,19.6,19.66,19.71,19.77
Yemen,16.8,17.8,18.0,17.8,17.7,17.6,17.48
Zambia,13.2,15.4,16.1,16.5,16.58,16.64,16.7
Zimbabwe,14.4,14.1,15.1,15.6,15.68,15.74,15.78
