Country,2019,2020,2021,2022
Finland,0.393,0.195444584,0.186,0.534
Denmark,0.41,0.168489456,0.179,0.532
Norway,0.341,0.263218194,0.27,0.474
Iceland,0.118,0.711709738,0.673,0.191
Netherlands,0.298,0.364717126,0.338,0.419
Switzerland,0.343,0.303728431,0.292,0.461
Sweden,0.373,0.250880182,0.237,0.512
New Zealand,0.38,0.22113885,0.242,0.483
Canada,0.308,0.390843362,0.415,0.368
Austria,0.226,0.499954879,0.481,0.329
Australia,0.29,0.41516912,0.442,0.341
Costa Rica,0.093,0.786332428,0.809,0.102
Israel,0.082,0.78085506,0.753,0.143
Luxembourg,0.316,0.367084295,0.386,0.388
United Kingdom,0.278,0.435915917,0.459,0.329
Ireland,0.31,0.357184172,0.363,0.408
Germany,0.265,0.456422031,0.46,0.358
Belgium,0.21,0.612297952,0.646,0.204
United States,0.128,0.699715316,0.698,0.177
Czechia,0.036,0.85844624,0.868,0.048
United Arab Emirates,0.182,0.594502211,0.589,0.25
Malta,0.151,0.658547282,0.653,0.166
Mexico,0.073,0.806821585,0.799,0.115
France,0.183,0.583521128,0.571,0.266
Chile,0.056,0.838239431,0.83,0.069
Guatemala,0.078,0.783237457,0.775,0.115
Saudi Arabia,0.132,0.682619512,0.684,0.18
Spain,0.079,0.765859902,0.745,0.149
Panama,0.054,0.851588905,0.856,0.051
Brazil,0.086,0.770601273,0.756,0.134
Uruguay,0.15,0.635994136,0.59,0.265
Singapore,0.453,0.109784193,0.082,0.587
El Salvador,0.074,0.754319906,0.688,0.212
Italy,0.03,0.873404682,0.866,0.059
Bahrain,0.11,0.7393471,0.722,0.155
Slovakia,0.014,0.918096125,0.911,0.025
Poland,0.05,0.686927021,0.735,0.14
Uzbekistan,0.24,0.501497388,0.515,0.24
Lithuania,0.042,0.809583843,0.826,0.077
Colombia,0.034,0.86457181,0.841,0.077
Slovenia,0.057,0.817071021,0.806,0.115
Nicaragua,0.127,0.665950119,0.664,0.212
Kosovo,0.006,0.922328293,0.917,0.035
Argentina,0.05,0.842009842,0.834,0.085
Romania,0.005,0.934300244,0.938,0.006
Cyprus,0.041,0.856271744,0.844,0.062
Ecuador,0.087,0.801215112,0.843,0.083
Kuwait,0.097,0.760849059,0.736,0.147
Thailand,0.028,0.886272311,0.895,0.026
Latvia,0.064,0.795580089,0.8,0.09
South Korea,0.056,0.789067447,0.727,0.176
Estonia,0.161,0.623073816,0.527,0.333
Jamaica,0.028,0.888890028,0.884,0.053
Mauritius,0.06,0.805343091,0.789,0.107
Japan,0.14,0.654558063,0.638,0.218
Honduras,0.078,0.801131904,0.809,0.076
Kazakhstan,0.096,0.764490843,0.733,0.157
Bolivia,0.064,0.822606206,0.839,0.064
Hungary,0.02,0.892916501,0.876,0.064
Paraguay,0.08,0.834788501,0.882,0.059
Peru,0.027,0.893714964,0.891,0.037
Portugal,0.025,0.892629504,0.887,0.039
Pakistan,0.098,0.745705426,0.787,0.112
Russia,0.031,0.864802599,0.845,0.08
Philippines,0.107,0.733634114,0.742,0.142
Serbia,0.039,0.843509018,0.835,0.088
Moldova,0.0,0.913314283,0.918,0.028
Libya,0.152,0.668779135,0.667,0.179
Montenegro,0.08,0.783121586,0.812,0.077
Tajikistan,0.144,0.592076063,0.553,0.304
Croatia,0.022,0.916495264,0.939,0.0
Dominican Republic,0.101,0.755999923,0.714,0.179
Bosnia and Herzegovina,0.006,0.933769107,0.931,0.006
Turkey,0.106,0.748197377,0.776,0.115
Malaysia,0.024,0.839302301,0.839,0.126
Belarus,0.142,0.63571167,0.627,0.282
Greece,0.034,0.859931409,0.823,0.108
Mongolia,0.038,0.863511205,0.856,0.059
Nigeria,0.041,0.861874342,0.878,0.038
Kyrgyzstan,0.023,0.888396084,0.908,0.025
Turkmenistan,0.028,0.883691847,0.888,0.032
Algeria,0.114,0.735485137,0.752,0.15
Morocco,0.076,0.815724611,0.801,0.102
Azerbaijan,0.182,0.55253756,0.506,0.341
Lebanon,0.027,0.90225625,0.898,0.034
Indonesia,0.028,0.876296401,0.867,0.047
China,0.1,0.7539711,0.755,0.142
Vietnam,0.073,0.79642123,0.796,0.105
Cameroon,0.037,0.851336598,0.848,0.074
Bulgaria,0.004,0.935585141,0.932,0.021
Ghana,0.04,0.847964764,0.848,0.056
Ivory Coast,0.09,0.790771961,0.794,0.124
Nepal,0.089,0.738099158,0.727,0.13
Jordan,0.13,0.700344324,0.705,0.2
Benin,0.082,0.740532577,0.661,0.23
Gabon,0.055,0.849150956,0.84,0.099
Laos,0.164,0.634679317,0.658,0.184
South Africa,0.055,0.843423843,0.86,0.046
Albania,0.027,0.896303713,0.901,0.028
Venezuela,0.047,0.837038398,0.827,0.082
