Country,2019,2020,2021,2022
Finland,1.587,0.954329729,0.954,1.258
Denmark,1.573,0.955990791,0.954,1.243
Norway,1.582,0.952486575,0.954,1.239
Iceland,1.624,0.974669576,0.983,1.32
Netherlands,1.522,0.93913883,0.942,1.206
Switzerland,1.526,0.942846596,0.942,1.226
Sweden,1.487,0.926311195,0.934,1.204
New Zealand,1.557,0.949118972,0.948,1.235
Canada,1.505,0.927176654,0.926,1.188
Austria,1.475,0.928045869,0.934,1.165
Australia,1.548,0.944854617,0.94,1.203
Costa Rica,1.441,0.901545942,0.891,1.054
Israel,1.455,0.913571239,0.939,1.221
Luxembourg,1.479,0.906912208,0.908,1.155
United Kingdom,1.538,0.93668282,0.934,1.143
Ireland,1.553,0.942081571,0.947,1.166
Germany,1.454,0.898874462,0.903,1.088
Belgium,1.504,0.911632538,0.906,1.106
United States,1.457,0.914219022,0.92,1.182
Czechia,1.487,0.914430678,0.947,1.26
United Arab Emirates,1.31,0.849181116,0.844,0.98
Malta,1.52,0.93037951,0.931,1.169
Mexico,1.323,0.838665426,0.831,0.886
France,1.472,0.937103748,0.942,1.219
Chile,1.369,0.879713595,0.882,1.08
Guatemala,1.269,0.816621482,0.813,0.831
Saudi Arabia,1.357,0.874067068,0.891,1.092
Spain,1.484,0.921125412,0.932,1.211
Panama,1.442,0.902094483,0.896,1.107
Brazil,1.439,0.896723807,0.882,1.044
Uruguay,1.465,0.92281127,0.925,1.18
Singapore,1.463,0.910268962,0.915,1.127
El Salvador,1.242,0.806092262,0.762,0.768
Italy,1.488,0.889878571,0.88,1.052
Bahrain,1.368,0.876342118,0.862,1.029
Slovakia,1.504,0.922493756,0.936,1.232
Poland,1.438,0.874257445,0.898,1.174
Uzbekistan,1.529,0.926595807,0.918,1.092
Lithuania,1.515,0.926107109,0.935,1.204
Colombia,1.41,0.884440243,0.847,0.929
Slovenia,1.523,0.939575672,0.948,1.249
Nicaragua,1.325,0.857497036,0.864,1.029
Kosovo,1.232,0.820726514,0.821,0.949
Argentina,1.432,0.900567949,0.898,1.102
Romania,1.232,0.825161517,0.832,1.006
Cyprus,1.223,0.805996239,0.802,0.909
Ecuador,1.312,0.836418986,0.821,0.879
Kuwait,1.319,0.846475244,0.843,0.983
Thailand,1.409,0.889973223,0.888,1.096
Latvia,1.465,0.918288589,0.927,1.221
South Korea,1.219,0.799387157,0.799,0.886
Estonia,1.528,0.934729993,0.941,1.232
Jamaica,1.478,0.915701866,0.877,1.045
Mauritius,1.402,0.910357833,0.905,1.116
Japan,1.419,0.883545935,0.884,1.089
