Country,2019,2020,2021,2022
Finland,7.769,7.808700085,7.842,7.821
Denmark,7.6,7.645599842,7.62,7.636
Norway,7.554,7.487999916,7.392,7.365
Iceland,7.494,7.504499912,7.554,7.557
Netherlands,7.488,7.448900223,7.464,7.415
Switzerland,7.48,7.559899807,7.571,7.512
Sweden,7.343,7.353499889,7.363,7.384
New Zealand,7.307,7.299600124,7.277,7.2
Canada,7.278,7.23210001,7.103,7.025
Austria,7.246,7.294199944,7.268,7.163
Australia,7.228,7.222799778,7.183,7.162
Costa Rica,7.167,7.121399879,7.069,6.582
Israel,7.139,7.128600121,7.157,7.364
Luxembourg,7.09,7.237500191,7.324,7.404
United Kingdom,7.054,7.164500237,7.064,6.943
Ireland,7.021,7.093699932,7.085,7.041
Germany,6.985,7.075799942,7.155,7.034
Belgium,6.923,6.863500118,6.834,6.805
United States,6.892,6.939599991,6.951,6.977
Czechia,6.852,6.910900116,6.965,6.92
United Arab Emirates,6.825,6.790800095,6.561,6.576
Malta,6.726,6.772799969,6.602,6.447
Mexico,6.595,6.465000153,6.317,6.128
France,6.592,6.663799763,6.69,6.687
Chile,6.444,6.228499889,6.172,6.172
Guatemala,6.436,6.398900032,6.435,6.262
Saudi Arabia,6.375,6.406499863,6.494,6.523
Spain,6.354,6.400899887,6.491,6.476
Panama,6.321,6.304800034,6.18,6.309
Brazil,6.3,6.375599861,6.33,6.293
Uruguay,6.293,6.440100193,6.431,6.474
Singapore,6.262,6.377099991,6.377,6.48
El Salvador,6.253,6.34829998,6.061,6.12
Italy,6.223,6.38740015,6.483,6.467
Bahrain,6.199,6.227300167,6.647,6.647
Slovakia,6.198,6.280600071,6.331,6.391
Poland,6.182,6.186299801,6.166,6.123
Uzbekistan,6.174,6.257599831,6.179,6.063
Lithuania,6.149,6.215499878,6.255,6.446
Colombia,6.125,6.163400173,6.012,5.781
Slovenia,6.118,6.363399982,6.461,6.63
Nicaragua,6.105,6.13710022,5.972,6.165
Kosovo,6.1,6.325200081,6.372,6.455
Argentina,6.086,5.974699974,5.929,5.967
Romania,6.07,6.123700142,6.14,6.477
Cyprus,6.046,6.15899992,6.223,6.221
Ecuador,6.028,5.925199986,5.764,5.533
Kuwait,6.021,6.102099895,6.106,6.106
Thailand,6.008,5.998799801,5.985,5.891
Latvia,5.94,5.949999809,6.032,6.18
South Korea,5.895,5.872399807,5.845,5.935
Estonia,5.893,6.021800041,6.189,6.341
Jamaica,5.89,5.889800072,6.309,5.85
Mauritius,5.888,6.101299763,6.049,6.071
Japan,5.886,5.870800018,5.94,6.039
Honduras,5.86,5.953199863,5.919,6.022
Kazakhstan,5.809,6.057899952,6.152,6.234
Bolivia,5.779,5.747499943,5.716,5.6
Hungary,5.758,6.000400066,5.992,6.086
Paraguay,5.743,5.692100048,5.653,5.578
Peru,5.697,5.796800137,5.84,5.559
Portugal,5.693,5.910900116,5.929,6.016
Pakistan,5.653,5.69329977,4.934,4.516
Russia,5.648,5.546000004,5.477,5.459
Philippines,5.631,6.006000042,5.88,5.904
Serbia,5.603,5.77820015,6.078,6.178
Moldova,5.529,5.607500076,5.766,5.857
Libya,5.525,5.488800049,5.41,5.33
Montenegro,5.523,5.54610014,5.581,5.547
Tajikistan,5.467,5.555699825,5.466,5.377
Croatia,5.432,5.504700184,5.882,6.125
Dominican Republic,5.425,5.689199924,5.545,5.737
