Country,Electoral Process 2022,Political Rights 2022,Civil Liberties 2022,Democracy Score 2022,Democratic 2022
Afghanistan,0,1,9,10,False
Albania,9,28,39,77,True
Algeria,3,10,22,35,False
Angola,3,10,20,33,False
Argentina,11,35,49,96,True
Armenia,7,23,32,63,True
Australia,12,39,56,108,True
Austria,12,37,56,106,True
Azerbaijan,0,2,7,9,False
Bahrain,2,2,10,14,False
Bangladesh,4,15,24,43,False
Belarus,0,2,6,8,False
Belgium,12,39,57,109,True
Belize,12,34,53,100,True
Benin,3,17,42,62,False
Bhutan,10,29,32,72,True
Bolivia,10,27,39,77,True
Bosnia and Herzegovina,6,19,34,59,False
Botswana,10,28,44,83,True
Brazil,10,31,42,84,True
Bulgaria,11,33,46,91,True
Burkina Faso,7,23,30,61,True
Burundi,1,4,10,15,False
Cambodia,1,5,19,25,False
Cameroon,1,6,9,16,False
Canada,12,40,58,111,True
Central African Republic,2,3,4,9,False
Chad,0,1,14,15,False
Chile,12,38,56,107,True
China,0,-2,11,9,False
Colombia,10,29,35,75,True
Comoros,5,16,26,47,False
Congo (Brazzaville),0,2,15,17,False
Congo (Kinshasa),1,4,15,20,False
Costa Rica,12,38,53,104,True
Croatia,12,36,49,98,True
Cyprus,12,38,55,106,True
Czech Republic,12,36,55,104,True
Denmark,12,40,57,110,True
Djibouti,2,5,19,26,False
Dominican Republic,9,27,41,78,True
Ecuador,11,31,40,83,True
Egypt,2,6,12,20,False
El Salvador,10,26,33,70,True
Estonia,12,38,56,107,True
Ethiopia,4,12,11,27,False
Finland,12,40,60,113,True
France,12,38,51,102,True
Gabon,0,3,18,21,False
Georgia,7,22,36,66,True
Germany,12,39,55,107,True
Ghana,12,35,45,93,True
Greece,12,37,50,100,True
Guatemala,7,21,30,59,True
Guinea,1,10,24,35,False
Haiti,3,11,22,36,False
Honduras,8,21,26,55,False
Hong Kong,0,10,33,43,False
Hungary,9,26,43,79,True
Iceland,12,37,57,107,True
India,12,33,33,79,True
Indonesia,11,30,29,70,False
Iran,2,4,10,16,False
Iraq,8,16,13,37,False
Ireland,12,39,58,110,True
Israel,12,34,42,89,True
Italy,12,36,54,103,True
Jamaica,12,34,46,93,True
Japan,12,40,56,109,True
Jordan,2,11,22,35,False
Kazakhstan,1,5,18,24,False
Kenya,6,19,29,54,False
Kosovo,9,25,31,66,True
Kuwait,3,14,23,40,False
Kyrgyzstan,2,4,23,29,False
Laos,0,2,11,13,False
Latvia,12,37,51,101,True
Lebanon,5,13,29,47,False
Lesotho,10,27,36,74,True
Liberia,8,27,33,69,True
Libya,0,1,8,9,False
Lithuania,12,38,51,102,True
Luxembourg,12,38,59,110,True
Madagascar,9,27,34,71,True
Malawi,9,29,37,76,True
Malaysia,6,20,30,56,False
Maldives,7,19,21,47,False
Mali,1,8,24,33,False
Malta,12,35,54,102,True
Mauritania,6,14,21,41,False
Mauritius,11,36,50,98,True
Mexico,9,27,33,70,True
Moldova,10,27,35,73,True
Mongolia,11,36,48,96,True
Montenegro,9,26,41,77,True
Morocco,5,13,24,42,False
Mozambique,3,14,29,46,False
Myanmar,0,0,9,9,False
Namibia,11,31,46,89,True
Nepal,10,25,32,68,True
Netherlands,12,39,58,110,True
New Zealand,12,40,59,112,True
Nicaragua,0,5,18,23,False
Niger,8,23,28,59,False
Nigeria,6,20,23,49,False
North Macedonia,9,28,39,77,True
Northern Cyprus,9,27,50,87,True
Norway,12,40,60,113,True
Oman,2,6,18,26,False
Pakistan,5,15,22,42,False
Panama,12,35,48,96,True
Paraguay,10,28,37,76,True
Peru,10,30,42,83,True
Philippines,9,25,30,65,True
Poland,10,34,47,92,True
Portugal,12,39,56,108,True
Qatar,2,7,18,27,False
Romania,12,35,48,96,True
Russia,0,5,14,19,False
Rwanda,2,8,14,24,False
Saudi Arabia,0,1,6,7,False
Senegal,9,29,39,78,True
Serbia,7,21,41,70,True
Sierra Leone,10,28,37,76,True
Singapore,4,19,28,51,False
Slovakia,12,37,53,103,True
Slovenia,12,38,52,103,True
Somalia,0,1,6,7,False
South Africa,12,33,46,92,True
South Korea,11,33,50,95,True
South Sudan,0,-3,4,1,False
Spain,12,37,53,103,True
Sri Lanka,9,23,32,65,True
Sudan,0,0,10,10,False
Suriname,11,34,45,91,True
Sweden,12,40,60,113,True
Switzerland,12,39,57,109,True
Syria,0,-3,4,1,False
Taiwan,12,38,56,107,True
Tajikistan,0,0,8,8,False
Tanzania,3,12,22,37,False
Thailand,1,5,24,30,False
Togo,4,15,27,46,False
Trinidad and Tobago,11,33,49,94,True
Tunisia,9,26,38,74,True
Turkey,5,16,16,37,False
Turkmenistan,0,0,2,2,False
Uganda,3,11,23,37,False
Ukraine,9,26,35,71,True
United Arab Emirates,1,5,12,18,False
United Kingdom,12,39,54,106,True
United States,10,32,51,94,True
Uruguay,12,40,57,110,True
Uzbekistan,1,2,9,12,False
Venezuela,0,1,13,14,False
Vietnam,0,3,16,19,False
Yemen,0,1,8,9,False
Zambia,6,21,30,57,False
Zimbabwe,3,11,17,31,False
