Country,Freedom 2018,Freedom 2019,Freedom 2020,Freedom 2021
Norway,0.686,0.603,0.955750287,0.96
Denmark,0.683,0.592,0.951444268,0.946
Iceland,0.677,0.591,0.948891878,0.955
Switzerland,0.66,0.572,0.921336651,0.919
Finland,0.681,0.596,0.949172199,0.949
Netherlands,0.638,0.557,0.908547819,0.913
Canada,0.653,0.584,0.933913231,0.915
New Zealand,0.669,0.585,0.936217487,0.929
Sweden,0.659,0.574,0.939144194,0.945
Australia,0.647,0.557,0.915431738,0.914
Israel,0.533,0.371,0.747580588,0.8
Costa Rica,0.632,0.558,0.934738934,0.934
Austria,0.617,0.532,0.899989486,0.908
United States,0.547,0.454,0.842619538,0.837
Ireland,0.614,0.516,0.886982977,0.879
Germany,0.586,0.495,0.867371082,0.875
Belgium,0.583,0.473,0.813582063,0.783
Luxembourg,0.632,0.526,0.90563643,0.907
United Kingdom,0.464,0.45,0.834743679,0.859
Chile,0.431,0.357,0.744896293,0.742
United Arab Emirates,0.284,0.598,0.941345513,0.932
Brazil,0.493,0.39,0.799804807,0.804
Argentina,0.57,0.471,0.831132412,0.828
Mexico,0.479,0.433,0.858709276,0.862
Singapore,0.631,0.556,0.926645339,0.927
Malta,0.645,0.564,0.924911439,0.927
Uruguay,0.625,0.523,0.892395437,0.896
Guatemala,0.604,0.535,0.908147573,0.906
Panama,0.597,0.516,0.880366504,0.872
France,0.52,0.436,0.825467646,0.822
Thailand,0.637,0.557,0.905063033,0.884
Spain,0.449,0.362,0.751989543,0.761
Colombia,0.531,0.47,0.836179912,0.837
Saudi Arabia,0.509,0.439,0.854191244,0.877
Kuwait,0.554,0.493,0.872366488,0.867
Slovakia,0.354,0.334,0.749952674,0.766
Bahrain,0.594,0.536,0.905855775,0.925
Malaysia,0.356,0.508,0.894626856,0.895
Nicaragua,0.527,0.435,0.863902867,0.836
Ecuador,0.556,0.498,0.859828949,0.842
El Salvador,0.461,0.43,0.833805263,0.888
Poland,0.546,0.483,0.862055779,0.841
Uzbekistan,0.724,0.631,0.974998116,0.97
Italy,0.281,0.231,0.66465199,0.693
Russia,0.399,0.334,0.729892612,0.718
Japan,0.553,0.445,0.809961379,0.796
Lithuania,0.35,0.291,0.747381449,0.773
Algeria,0.077,0.086,0.466610909,0.48
Latvia,0.363,0.264,0.671237648,0.715
South Korea,0.244,0.159,0.612965107,0.672
Moldova,0.232,0.245,0.721609175,0.822
Romania,0.528,0.462,0.842823207,0.845
Bolivia,0.606,0.511,0.875873327,0.875
Turkmenistan,0.417,0.394,0.826457024,0.877
Kazakhstan,0.454,0.41,0.811601937,0.853
Slovenia,0.633,0.564,0.936142623,0.949
Peru,0.53,0.455,0.824766099,0.822
Mauritius,0.584,0.498,0.889534533,0.867
Cyprus,0.423,0.406,0.779858291,0.763
Estonia,0.553,0.495,0.87770915,0.909
Belarus,0.307,0.235,0.639163077,0.65
Libya,0.496,0.416,0.773157001,0.771
Turkey,0.324,0.195,0.608830452,0.576
Paraguay,0.541,0.514,0.885923445,0.876
Philippines,0.643,0.558,0.915463448,0.917
Serbia,0.288,0.282,0.726495862,0.778
Jordan,0.468,0.383,0.75104779,0.755
Hungary,0.259,0.199,0.718964577,0.755
Jamaica,0.575,0.49,0.858068526,0.89
Croatia,0.38,0.296,0.714838803,0.754
Kosovo,0.448,0.489,0.861535907,0.869
China,0.597,0.521,0.898517907,0.904
Pakistan,0.334,0.313,0.734833717,0.726
Indonesia,0.538,0.491,0.870614409,0.873
Venezuela,0.133,0.154,0.62327832,0.615
Montenegro,0.259,0.197,0.649565637,0.708
Morocco,0.46,0.418,0.772072434,0.774
Azerbaijan,0.43,0.351,0.786824107,0.814
Dominican Republic,0.578,0.497,0.866202772,0.86
Greece,0.131,0.067,0.541345119,0.582
Lebanon,0.503,0.216,0.551357508,0.525
Portugal,0.562,0.508,0.888747811,0.892
Bosnia and Herzegovina,0.28,0.212,0.651352704,0.706
Honduras,0.459,0.507,0.870603263,0.857
Vietnam,0.618,0.543,0.939592957,0.94
Nigeria,0.462,0.426,0.759578407,0.737
Tajikistan,0.292,0.389,0.831383407,0.832
Kyrgyzstan,0.54,0.508,0.909374893,0.935
Nepal,0.526,0.439,0.797565043,0.782
Mongolia,0.395,0.317,0.693351328,0.708
South Africa,0.516,0.389,0.759330094,0.749
Tunisia,0.271,0.167,0.593361557,0.656
Palestinian Territories,0.266,0.225,0.645791829,0.653
Egypt,0.312,0.241,0.708354175,0.749
Bulgaria,0.359,0.311,0.745178163,0.788
Sierra Leone,0.355,0.309,0.715315044,0.717
Cameroon,0.454,0.381,0.763051808,0.731
Iran,0.459,0.305,0.647873282,0.608
Albania,0.419,0.383,0.781994224,0.785
Bangladesh,0.58,0.527,0.90062499,0.877
Kenya,0.504,0.431,0.829747558,0.779
Myanmar,0.58,0.525,0.895075202,0.876
Senegal,0.406,0.292,0.690596163,0.695
Zambia,0.503,0.431,0.806500256,0.782
Iraq,0.304,0.241,0.633182645,0.63
Gabon,0.356,0.295,0.704829216,0.731
Ethiopia,0.452,0.344,0.740795195,0.752
Sri Lanka,0.585,0.47,0.837633669,0.841
Armenia,0.26,0.283,0.712017834,0.825
India,0.539,0.498,0.881444871,0.893
Mauritania,0.129,0.066,0.551522553,0.561
Georgia,0.375,0.346,0.801641524,0.783
Mali,0.367,0.327,0.71156615,0.697
Ivory Coast,0.467,0.352,0.727909327,0.741
Cambodia,0.696,0.609,0.959704638,0.959
Ghana,0.499,0.381,0.794796526,0.807
Ukraine,0.163,0.178,0.663081884,0.724
Uganda,0.45,0.356,0.731713951,0.709
Burkina Faso,0.312,0.255,0.665563583,0.695
Niger,0.39,0.318,0.759772122,0.806
Malawi,0.531,0.443,0.803223193,0.78
Chad,0.189,0.174,0.587305248,0.579
Zimbabwe,0.406,0.361,0.711457908,0.677
Afghanistan,0.085,0.0,0.396573007,0.382
Botswana,0.557,0.455,0.821328104,0.824
